,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
0,RAB17,5.960212469718419,ANKRD11,27.147073674841376,DTWD2,19.97887188724903,FKBP5,0.7919520406837512,TXNDC9,0.4542143440338257,TFE3,3.680925203534252
1,SPDEF,5.717004887587015,DYNLRB1,26.4819784860126,BLZF1,19.77301952477817,MELK,0.7847182996766111,SUMO1P3,0.45244331325550896,SGMS1,3.6292920991450837
2,KRT18P55,5.701024088241848,HSP90AB3P,26.131636189483675,IL17RD,19.68366603717116,HERC3,0.7708249800286884,RTRAF,0.45013139478471836,SHROOM2,3.5787341879137284
3,PPWD1,5.631163758284661,CSNK1G3,25.660056200876433,USP49,19.655475453858013,AACS,0.7627407177600295,HNRNPC,0.448844424741544,SATL1,3.53274467339082
4,KRT18,5.6002740204267925,HIRIP3,25.554631332913612,MBD4,19.65415573680029,SCP2,0.7603792348021727,COPS8,0.4484177344240795,FILIP1,3.527801037536821
5,STARD10,5.567252190840636,THY1,25.411149093708932,NLRP8,19.52123943509979,SLCO1B7,0.7570982207174198,CCNH,0.44662620617218457,DKK1,3.5028277571655786
6,KIAA1522,5.554240600610348,SYAP1,25.251954270748872,SPN,19.50694920010457,UBE2S,0.7546539613903259,FAM133B,0.44590977554833194,TBC1D25,3.4447619118029276
7,SLC9A3R1,5.552569981939544,PLCG1,25.082868451466645,GPR1,19.48009065552793,ACSM1,0.75158252531778,RAB33B,0.4453314991662722,CCNB3,3.4132472821821853
8,TJP3,5.539766285631659,GYPC,25.005889872107517,LEP,19.390044924572457,HJURP,0.7514707397993025,YY1,0.44508638263849953,PNMA5,3.390167044289599
9,ERBB3,5.506656219189079,LIME1,24.91628547973753,DMC1,19.345264983267462,NAAA,0.749684557587853,CAST,0.4442823106791739,WDR60,3.375380492199661
10,ING3,5.419573168563449,TTYH3,24.88388420792917,ZNF682,19.326082745914405,IDI1,0.7471202239613809,EIF3M,0.44248529075378196,PCP2,3.3624595332614757
11,KRT8,5.415481037993721,USP34,24.81230184906634,CSF2RA,19.286242110277332,HPGD,0.7464301633606115,PPP2CB,0.4403734050957442,NPTX2,3.354707162172918
12,CASZ1,5.397975397804187,FAHD1,24.725433324293768,TNFSF14,19.26801755357588,UGT2B10,0.7438106896277201,IER3IP1,0.43987509844425143,PAQR6,3.348143173905284
13,XBP1,5.390639539582306,ZNF444,24.689363555630287,NUBPL,19.238216509825783,RAP2A,0.7429619647738539,UBLCP1,0.43822347527313144,ANO5,3.346946833385248
14,CDS1,5.384725935829139,FYB1,24.675894680415,PTPLAD2,19.2163798515314,PGC,0.7429195754472657,MTF2,0.4381303516852658,LAMB4,3.3337677476009353
15,HID1,5.378957353685209,LYN,24.66895153361303,ZNF223,19.178767864825776,PEX14,0.74279150735111,TMED7,0.43760812737545335,SPINT2,3.3271431708733674
16,RAB25,5.306007642779097,ARMC1,24.558058806930777,PCDHB9,19.156588864033584,NUP188,0.7417909476478857,UTP3,0.4373998427289755,RBM24,3.295113156809472
