,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
0,NRM,0.8938888740614899,NRM,0.8938888740614899
1,RAP2A,0.883296963957743,RAP2A,0.883296963957743
2,MELK,0.8685397431081143,MELK,0.8685397431081143
3,GTF2H3,0.8643318656442434,GTF2H3,0.8643318656442434
4,JMJD8,0.8590669301657192,JMJD8,0.8590669301657192
5,TROAP,0.8583735332483,TROAP,0.8583735332483
6,FKBP5,0.8567024320617299,FKBP5,0.8567024320617299
7,R3HCC1,0.8567009773490581,R3HCC1,0.8567009773490581
8,STX5,0.8566662861583397,STX5,0.8566662861583397
9,KIFC1,0.8550665132700557,KIFC1,0.8550665132700557
10,UBE2S,0.8525986454198364,UBE2S,0.8525986454198364
11,NUP188,0.8515959783782578,NUP188,0.8515959783782578
12,NIPAL3,0.847784694372309,NIPAL3,0.847784694372309
13,MIEF1,0.847782466820215,MIEF1,0.847782466820215
14,TNRC6B,0.8440874390881414,TNRC6B,0.8440874390881414
15,RAD23A,0.8397488622811398,RAD23A,0.8397488622811398
16,RCC2,0.8389550725390809,RCC2,0.8389550725390809
17,CAP1,0.8389034399799079,CAP1,0.8389034399799079
18,PUS1,0.8385797872703459,PUS1,0.8385797872703459
19,CAPZA2,0.8385519634293895,CAPZA2,0.8385519634293895
20,PLPPR2,0.8371067162618251,PLPPR2,0.8371067162618251
21,RBM42,0.8360511032312199,RBM42,0.8360511032312199
22,TARBP2,0.8339482536653966,TARBP2,0.8339482536653966
23,TIMM29,0.8335025629982293,TIMM29,0.8335025629982293
24,RECQL4,0.8332355762349904,RECQL4,0.8332355762349904
25,ACADM,0.8314902710131442,ACADM,0.8314902710131442
26,EIF5A2,0.8310219884571372,EIF5A2,0.8310219884571372
27,SUOX,0.8309402833369809,SUOX,0.8309402833369809
28,H2BC8,0.8306800493271449,H2BC8,0.8306800493271449
29,KAZN,0.8303742984067051,KAZN,0.8303742984067051
30,ADGRG1,0.8299219112275761,ADGRG1,0.8299219112275761
31,MATR3,0.8282968489605061,MATR3,0.8282968489605061
32,CXXC5,0.8278979474116751,CXXC5,0.8278979474116751
33,CUTA,0.8269280500550752,CUTA,0.8269280500550752
34,HJURP,0.8266084218560391,HJURP,0.8266084218560391
35,TNPO2,0.8263502106986089,TNPO2,0.8263502106986089
36,MSH5,0.8263361953569174,MSH5,0.8263361953569174
37,SMARCA4,0.8260768842498089,SMARCA4,0.8260768842498089
38,IDI1,0.8256340158002377,IDI1,0.8256340158002377
39,NKIRAS2,0.824220564224409,NKIRAS2,0.824220564224409
40,TYMS,0.8221924646653387,TYMS,0.8221924646653387
41,MAP1S,0.8218610466724288,MAP1S,0.8218610466724288
42,TMEM39B,0.8194700357717577,TMEM39B,0.8194700357717577
43,ELOVL5,0.8190654376681114,ELOVL5,0.8190654376681114
44,TRIM26,0.818584208048794,TRIM26,0.818584208048794
45,H2AC8,0.817862962240646,H2AC8,0.817862962240646
